# k    qy    S_u(qy)
359    2.2028    0.000151678
360    2.20893    0.000119032
361    2.21507    8.19746e-05
362    2.2212    0.000124868
363    2.22734    0.0001071
364    2.23348    0.000105053
365    2.23961    0.000109999
366    2.24575    0.000100299
367    2.25188    0.000102994
368    2.25802    7.19743e-05
369    2.26416    9.87059e-05
370    2.27029    8.88068e-05
371    2.27643    0.000113859
372    2.28256    0.000109431
373    2.2887    0.000117475
374    2.29484    0.000108833
375    2.30097    0.000119977
376    2.30711    8.70955e-05
377    2.31324    8.85241e-05
378    2.31938    0.00011181
379    2.32551    9.25758e-05
380    2.33165    0.000149327
381    2.33779    0.000105678
382    2.34392    5.49098e-05
383    2.35006    9.24064e-05
384    2.35619    8.47627e-05
385    2.36233    0.000128283
386    2.36847    9.05345e-05
387    2.3746    0.000108408
388    2.38074    9.64913e-05
389    2.38687    0.000101505
390    2.39301    0.000109527
391    2.39915    9.43026e-05
392    2.40528    0.000110184
393    2.41142    7.51701e-05
394    2.41755    0.000107085
395    2.42369    9.97723e-05
396    2.42983    9.31494e-05
397    2.43596    0.000114906
398    2.4421    7.12302e-05
399    2.44823    9.2115e-05
400    2.45437    0.000123069
401    2.46051    0.000104612
402    2.46664    9.13716e-05
403    2.47278    8.71838e-05
404    2.47891    8.58027e-05
405    2.48505    0.00011719
406    2.49118    0.000108853
407    2.49732    9.22792e-05
408    2.50346    8.88172e-05
409    2.50959    0.000126108
410    2.51573    7.91696e-05
411    2.52186    7.61883e-05
412    2.528    0.000106227
413    2.53414    0.000104978
414    2.54027    0.000108573
415    2.54641    0.000114959
416    2.55254    0.000106962
417    2.55868    9.01321e-05
418    2.56482    8.72309e-05
419    2.57095    0.000113922
420    2.57709    7.72683e-05
421    2.58322    9.75878e-05
422    2.58936    8.8373e-05
423    2.5955    0.000113643
424    2.60163    0.000130242
425    2.60777    8.76517e-05
426    2.6139    8.17855e-05
427    2.62004    6.97809e-05
428    2.62618    7.58723e-05
429    2.63231    8.13082e-05
430    2.63845    8.87385e-05
431    2.64458    8.81203e-05
432    2.65072    8.28691e-05
433    2.65685    9.40258e-05
434    2.66299    9.65671e-05
435    2.66913    0.000111686
436    2.67526    0.000110098
437    2.6814    8.76222e-05
438    2.68753    8.22347e-05
439    2.69367    6.34472e-05
440    2.69981    5.79572e-05
441    2.70594    6.76238e-05
442    2.71208    6.62312e-05
443    2.71821    4.31673e-05
444    2.72435    8.08839e-05
445    2.73049    8.13446e-05
446    2.73662    8.28368e-05
447    2.74276    9.1687e-05
448    2.74889    9.7613e-05
449    2.75503    8.12156e-05
450    2.76117    0.000122262
451    2.7673    9.56906e-05
452    2.77344    0.000116571
453    2.77957    8.7727e-05
454    2.78571    8.98024e-05
455    2.79185    0.000112672
456    2.79798    9.24053e-05
457    2.80412    9.77746e-05
458    2.81025    8.98837e-05
459    2.81639    8.13924e-05
460    2.82252    0.000109006
461    2.82866    7.60261e-05
462    2.8348    0.000119535
463    2.84093    9.68527e-05
464    2.84707    8.88276e-05
465    2.8532    8.05816e-05
466    2.85934    0.000100918
467    2.86548    8.23009e-05
468    2.87161    6.41569e-05
469    2.87775    0.000117094
470    2.88388    6.60614e-05
471    2.89002    0.000103365
472    2.89616    6.79826e-05
473    2.90229    9.43801e-05
474    2.90843    8.21349e-05
475    2.91456    7.69027e-05
476    2.9207    9.45666e-05
477    2.92684    8.12896e-05
478    2.93297    0.000108832
479    2.93911    9.88138e-05
480    2.94524    0.000115955
481    2.95138    9.83249e-05
482    2.95751    7.12835e-05
483    2.96365    9.3179e-05
484    2.96979    9.94702e-05
485    2.97592    7.81594e-05
486    2.98206    8.97268e-05
487    2.98819    8.93539e-05
488    2.99433    8.81386e-05
489    3.00047    7.30589e-05
490    3.0066    9.42568e-05
491    3.01274    9.35397e-05
492    3.01887    8.68308e-05
493    3.02501    9.7448e-05
494    3.03115    9.23686e-05
495    3.03728    8.37255e-05
496    3.04342    0.00012483
497    3.04955    8.47566e-05
498    3.05569    7.96403e-05
499    3.06183    9.08185e-05
500    3.06796    7.67368e-05
501    3.0741    6.5528e-05
502    3.08023    7.57883e-05
503    3.08637    9.25869e-05
504    3.09251    9.31199e-05
505    3.09864    9.90717e-05
506    3.10478    8.58939e-05
507    3.11091    0.000107444
508    3.11705    0.000115934
509    3.12318    8.24426e-05
510    3.12932    0.000127967
511    3.13546    8.89448e-05
512    3.14159    7.91567e-05
